Type	Verfasser - ID	Verfasser  - Nachname	Verfasser - Vorname	Verfasser - ORCiD	Quellennachweis - ID	Quellennachweis - Titel	Quellennachweis - Verfasser	Quellennachweis - Herausgeber	Quellennachweis - Erscheinungsdatum	Quellennachweis - Zugangslink	Begriff - ID	Begriff - bevorzugte Benennung (de)	Begriff - bevorzugte Benennung (en)	Begriff - alternative Benennung (de)	Begriff - alternative Benennung (en)	Begriff - Definition (de)	Begriff - Definition (en)	Begriff - Quellenangabe	Begriff - Bearbeitungsdatum	Begriff - Fachzuordnung	Begriff - Erstellungsdatum	Begriff - redaktionelle Anmerkung (de)	Begriff - redaktionelle Anmerkung (en)	Begriff - Anmerkung zur Bearbeitungshistorie (de)	Begriff - Anmerkung zur Bearbeitungshistorie (en)	Begriff - Verfasser des Eintrags	Begriff - Kontextsatz (de)	Begriff - Kontextsatz (en)	Begriff - Bearbeitungsstatus	Begriff - Mathematisches Symbol	Begriff - Begriffsbeziehung - Oberbegriff
Author	Author1	Muster	Max	https://orcid.org/0000-0002-0871-8995																											
Author	Author2	Doe	Jane	https://orcid.org/0000-0002-0871-8994																											
Author	Author4	Maier	Harro	https://orcid.org/0000-0002-0871-8993																											
Source					Source500	Lexikon	Author4	TIB	2022-05-01	http://www.example.com/quelle																					
Source					Source2	parking search traffic		Wikidata	2020-07-15	https://www.wikidata.org/w/index.php?title=Q97379970&oldid=1936875884																					
Term											Concept1	Samstag	saturday	Sonnabend		schönster Tag der Woche an dem man alles machen kann	best day of the week	Source500	2024-12-12	https://purl.org/linsearch/cet	2023-12-12	Samstag ist großartig		gestern überarbeitet		Author1	Satz als Benutzungsbeispiel	this is a context sentence in english	draft	Bsp.	
Term											Concept2	Montag	monday			weniger schöner Tag		Source500	2024-02-03	https://purl.org/linsearch/cet	2023-01-01	Text für eine Anmerkung		gestern überarbeitet		Author1	Montag nervt		draft		
Term											Concept3			Parkplatzsuche						https://purl.org/linsearch/ver						Author2					
Term											Concept3			Parkraumsuche				Source2		https://purl.org/linsearch/ver						Author2					
Term											Concept3	Parksuchverkehr	parking traffic	Parkverkehr		Anteil am Straßenverkehr der durch die Suche nach verfügbarem Parkraum entsteht		Source2	2025-10-03	https://purl.org/linsearch/ver	2025-03-10	TODO: weitere Synonyme suchen				Author2	Der Parkraumsuchverkehr ist in Ballungsräumen besonders hoch.				Concept4
Term											Concept4	Straßenverkehr						Source2		https://purl.org/linsearch/ver						Author2					
Term											Concept5	Schiffsverkehr						Source2		https://purl.org/linsearch/ver						Author2					
