Type	Verfasser - ID	Verfasser  - Nachname	Verfasser - Vorname	Verfasser - ORCiD	Quellennachweis - ID	Quellennachweis - Titel	Quellennachweis - Verfasser	Quellennachweis - Herausgeber	Quellennachweis - Erscheinungsdatum	Quellennachweis - Zugangslink	Begriff - ID	Begriff - bevorzugte Benennung (de)	Begriff - bevorzugte Benennung (en)	Begriff - alternative Benennung (de)	Begriff - alternative Benennung (en)	Begriff - Definition (de)	Begriff - Definition (en)	Begriff - Quellenangabe	Begriff - Bearbeitungsdatum	Begriff - Fachzuordnung	Begriff - Erstellungsdatum	Begriff - redaktionelle Anmerkung (de)	Begriff - redaktionelle Anmerkung (en)	Begriff - Anmerkung zur Bearbeitungshistorie (de)	Begriff - Anmerkung zur Bearbeitungshistorie (en)	Begriff - Verfasser des Eintrags	Begriff - Kontextsatz (de)	Begriff - Kontextsatz (en)	Begriff - Bearbeitungsstatus	Begriff - Mathematisches Symbol	Begriff - Begriffsbeziehung - Oberbegriff
Author	Author1	Doe	Jane	https://orcid.org/0000-0002-0871-8994																											
Source					Source1	Wörterbuch der Verkehrswissenschaften	Author1	Fiktiver Verlag	2026	https://example.com/verlagsseite/buchseite																					
Source					Source1		Author4																								
Concept											Concept1	Parkraumsuchverkehr	parking traffic	Parksuchverkehr		Anteil des Straßenverkehrs, der bei der Suche nach einem Parkplatz anfällt	portion of street traffic resulting from the search for parking space	Source1	08.11.2025	http://uri.gbv.de/terminology/bk/55.84	03.06.2025	Bitte weitere Synonyme aus dem Englischen suchen!	Please search further synoynms in English	Die Definition wurde geändert, weil ...	The definition has been changed due to the fact that ...	Author1	Der Parkraumsuchverkehr ist in Ballungsgebieten am höchsten.	Parking traffic is highest in densely populated metropolitan areas.	draft		Concept2
Concept											Concept1			Parkplatzsuche				Source2													
Concept											Concept1			Parkverkehr																	
Concept											Concept2	Straßenverkehr	street traffic						08.11.2025	http://uri.gbv.de/terminology/bk/55.84	03.06.2025	Definitionen ergänzen	add definitions			Author1			draft		
Concept											Concept2											Kontextsatz ergänzen	add context sentence								
Concept											Concept2											Begriff von Projektleitung absegnen lassen	get approval for concept by project lead								
Author	Author2	Doe	Jane	https://orcid.org/0000-0002-0871-8994																											
Author	Author4	Maier	Harro	https://orcid.org/0000-0002-0871-8993																											
Source					Source2	parking search traffic		Wikidata																							
Concept											Concept5	Schiffsverkehr						Source2		https://purl.org/linsearch/ver						Author2					
